timestamp,src_ip,src_port,dst_ip,dst_port,highest_protocol,length,url,status_code,attack_type
2025-09-28T10:58:52.598126,172.17.0.1,41272,172.17.0.3,80,URLENCODED-FORM,907,http://localhost/vulnerabilities/xss_s/,,
2025-09-28T10:58:52.605251,172.17.0.3,80,172.17.0.1,41272,DATA-TEXT-LINES,2054,,200,
2025-09-28T10:58:55.266797,172.17.0.1,41272,172.17.0.3,80,HTTP,644,http://localhost/vulnerabilities/xss_s/,,
2025-09-28T10:58:55.269551,172.17.0.3,80,172.17.0.1,41272,DATA-TEXT-LINES,2053,,200,
2025-09-28T10:58:56.036618,172.17.0.1,41272,172.17.0.3,80,HTTP,639,http://localhost/favicon.ico,,
2025-09-28T10:58:56.036904,172.17.0.3,80,172.17.0.1,41272,MEDIA,1772,,200,
