timestamp,src_ip,src_port,dst_ip,dst_port,highest_protocol,length,url,status_code,attack_type
2025-09-28T10:41:20.527590,172.17.0.1,40502,172.17.0.3,80,TCP,74,,,
2025-09-28T10:41:20.527616,172.17.0.3,80,172.17.0.1,40502,TCP,74,,,
2025-09-28T10:41:20.527628,172.17.0.1,40502,172.17.0.3,80,TCP,66,,,
2025-09-28T10:41:20.548584,172.17.0.1,40502,172.17.0.3,80,HTTP,760,http://localhost/vulnerabilities/xss_d/?default=English%23%253Cscript%253Ealert%28,,
2025-09-28T10:41:20.548644,172.17.0.3,80,172.17.0.1,40502,TCP,66,,,
2025-09-28T10:41:20.550754,172.17.0.3,80,172.17.0.1,40502,DATA-TEXT-LINES,1973,,200,
2025-09-28T10:41:20.550782,172.17.0.1,40502,172.17.0.3,80,TCP,66,,,
