timestamp,src_ip,src_port,dst_ip,dst_port,highest_protocol,length,url,status_code,attack_type
2025-09-28T11:18:43.403259,172.17.0.1,38622,172.17.0.3,80,TCP,74,,,
2025-09-28T11:18:43.403347,172.17.0.3,80,172.17.0.1,38622,TCP,74,,,
2025-09-28T11:18:43.403406,172.17.0.1,38622,172.17.0.3,80,TCP,66,,,
2025-09-28T11:18:43.459554,172.17.0.1,38622,172.17.0.3,80,HTTP,674,http://localhost/vulnerabilities/fi/?page=../../hackable/flags/fi.php,,
2025-09-28T11:18:43.459631,172.17.0.3,80,172.17.0.1,38622,TCP,66,,,
2025-09-28T11:18:43.463715,172.17.0.3,80,172.17.0.1,38622,DATA-TEXT-LINES,1699,,200,
2025-09-28T11:18:43.463771,172.17.0.1,38622,172.17.0.3,80,TCP,66,,,
